id,link,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
ID859092619,https://www.otodom.pl/pl/oferta/listing-ID859092619,3800.0,45.0,2.0,miejskie,900.0,do zamieszkania,,,prywatny,2023.0,True,blok,plastikowe,Ursus,Szamoty,,6.0,6.0,,,,True,True,False,False,True,False,True,False,False
ID279110311,https://www.otodom.pl/pl/oferta/listing-ID279110311,2350.0,28.11,1.0,gazowe,1.0,do zamieszkania,,,prywatny,2011.0,True,apartamentowiec,aluminiowe,Włochy,Salomea,al. Aleje Jerozolimskie,4.0,4.0,False,True,True,True,True,True,False,False,False,True,False,False
ID723093454,https://www.otodom.pl/pl/oferta/listing-ID723093454,3000.0,48.57,2.0,inne,820.0,brak informacji,,,biuro nieruchomości,2008.0,False,blok,plastikowe,Ursynów,Natolin,ul. Nowoursynowska,0.0,4.0,True,False,False,,,,,,,,,
ID726164357,https://www.otodom.pl/pl/oferta/listing-ID726164357,3400.0,30.0,2.0,miejskie,500.0,do zamieszkania,,,prywatny,2022.0,True,apartamentowiec,,Ochota,Rakowiec,ul. Józefa Siemieńskiego,2.0,4.0,False,True,True,True,True,False,False,False,False,False,True,False
ID145110244,https://www.otodom.pl/pl/oferta/listing-ID145110244,5000.0,68.0,3.0,miejskie,1.0,do zamieszkania,,,biuro nieruchomości,2020.0,True,blok,,Włochy,Raków,ul. Instalatorów,1.0,6.0,True,True,True,True,True,False,False,False,False,False,True,False
ID781164357,https://www.otodom.pl/pl/oferta/listing-ID781164357,4200.0,48.0,2.0,brak informacji,0.0,brak informacji,,,prywatny,,True,apartamentowiec,plastikowe,Włochy,Raków,ul. Instalatorów,2.0,,True,True,True,,,,,,,,,
ID716183038,https://www.otodom.pl/pl/oferta/listing-ID716183038,2900.0,28.0,1.0,miejskie,600.0,do zamieszkania,,,prywatny,2020.0,True,blok,plastikowe,Praga-Północ,Stara Praga,,2.0,8.0,,,,True,False,False,False,False,False,False,True,True
ID956163139,https://www.otodom.pl/pl/oferta/listing-ID956163139,20000.0,21.5,1.0,gazowe,300.0,do zamieszkania,,,prywatny,1936.0,False,dom wolnostojący,drewniane,Mokotów,Wierzbno,ul. Ursynowska,,2.0,True,False,False,False,False,False,False,False,False,True,True,False
ID761110309,https://www.otodom.pl/pl/oferta/listing-ID761110309,4000.0,62.0,3.0,brak informacji,600.0,brak informacji,,,biuro nieruchomości,2016.0,False,apartamentowiec,,Włochy,Nowe Włochy,ul. Potrzebna,0.0,3.0,,,,,,,,,,,,
ID705093527,https://www.otodom.pl/pl/oferta/listing-ID705093527,7700.0,75.0,3.0,miejskie,1.0,brak informacji,,,biuro nieruchomości,,True,apartamentowiec,,Mokotów,Stegny,al. Aleja Wilanowska,6.0,6.0,,,,True,True,False,False,False,False,False,False,False
ID103093533,https://www.otodom.pl/pl/oferta/listing-ID103093533,2750.0,42.0,1.0,miejskie,655.0,do zamieszkania,,,prywatny,,True,blok,plastikowe,Ursynów,Natolin,ul. Belgradzka,7.0,10.0,,,,True,False,False,False,False,False,True,True,False
ID708182759,https://www.otodom.pl/pl/oferta/listing-ID708182759,3700.0,50.0,3.0,miejskie,700.0,do zamieszkania,,,prywatny,2025.0,True,blok,plastikowe,Białołęka,Tarchomin,,,,False,True,True,True,True,False,False,False,True,True,False,False
ID268164334,https://www.otodom.pl/pl/oferta/listing-ID268164334,5600.0,87.0,3.0,miejskie,1.0,do zamieszkania,,,biuro nieruchomości,2003.0,True,apartamentowiec,plastikowe,Ochota,Rakowiec,ul. Władysława Korotyńskiego,3.0,8.0,True,True,True,True,True,False,False,False,False,False,False,False
