id,link,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
ID424102608,https://www.otodom.pl/pl/oferta/listing-ID424102608,6500000.0,52.9,3.0,gazowe,1.0,do zamieszkania,wtórny,pełna własność,prywatny,1970.0,False,blok,plastikowe,Wesoła,Plac Wojska Polskiego,pl. Plac Wojska Polskiego,4.0,4.0,,,,True,True,False,False,True,False,False,False,True
ID381102758,https://www.otodom.pl/pl/oferta/listing-ID381102758,8200000.0,38.0,2.0,miejskie,880.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2017.0,True,blok,plastikowe,Wilanów,Błonia Wilanowskie,ul. Franciszka Klimczaka,3.0,4.0,True,False,False,True,True,False,False,False,False,False,False,False
ID234092540,https://www.otodom.pl/pl/oferta/listing-ID234092540,6650000.0,55.0,2.0,brak informacji,850.0,brak informacji,wtórny,pełna własność,biuro nieruchomości,2001.0,True,blok,plastikowe,Ursus,Czechowice,ul. Górna Droga,6.0,8.0,,,,,,,,,,,,
ID662092129,https://www.otodom.pl/pl/oferta/listing-ID662092129,5990000.0,47.0,3.0,brak informacji,630.0,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1970.0,False,,plastikowe,Targówek,Bródno,ul. Bazyliańska,9.0,10.0,,,,True,True,False,False,True,False,False,False,False
ID364164653,https://www.otodom.pl/pl/oferta/listing-ID364164653,6690000.0,30.84,1.0,miejskie,560.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2015.0,True,apartamentowiec,,Wola,Odolany,ul. Marcina Kasprzaka,1.0,15.0,True,True,True,True,True,False,False,False,False,False,False,False
ID730110211,https://www.otodom.pl/pl/oferta/listing-ID730110211,6700000.0,41.5,2.0,miejskie,0.0,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1970.0,False,blok,,Włochy,Okęcie,ul. Żwirki i Wigury,1.0,4.0,,,,True,False,False,False,True,False,False,False,True
ID489102815,https://www.otodom.pl/pl/oferta/listing-ID489102815,12000000.0,68.15,3.0,gazowe,1.0,do zamieszkania,wtórny,pełna własność,prywatny,2001.0,False,blok,drewniane,Ursynów,Ursynów-Centrum,ul. Kokosowa,1.0,2.0,,,,True,True,False,True,True,True,False,False,False
ID287132705,https://www.otodom.pl/pl/oferta/listing-ID287132705,15500000.0,86.4,4.0,brak informacji,,do wykończenia,pierwotny,brak informacji,prywatny,2025.0,False,blok,,Bemowo,Chrzanów,ul. Szeligowska,1.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False
ID341163034,https://www.otodom.pl/pl/oferta/listing-ID341163034,23900000.0,94.0,4.0,miejskie,0.0,brak informacji,wtórny,pełna własność,biuro nieruchomości,2022.0,True,apartamentowiec,,Mokotów,Stegny,Kwiatu Paproci,0.0,3.0,,,,,,,,,,,,
ID764094614,https://www.otodom.pl/pl/oferta/listing-ID764094614,8500000.0,68.3,3.0,gazowe,747.0,do wykończenia,wtórny,pełna własność,biuro nieruchomości,1996.0,False,blok,drewniane,Wawer,Marysin Wawerski,ul. Tytoniowa,1.0,4.0,True,True,True,True,True,False,False,True,False,False,False,True
ID977102558,https://www.otodom.pl/pl/oferta/listing-ID977102558,11790000.0,85.0,3.0,miejskie,1.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2011.0,False,blok,,Wesoła,Zielona-Grzybowa,,2.0,2.0,False,True,True,True,True,False,False,True,False,False,False,False
